,Lakes in Finland june 2002,,,C Chl,average,average,average,average,GF/F ,2um ,DOC
NAME of point,,N,E, (ug/l),Chl+pheo (mg/l),TSS(g/l),SPIM,SPOM,ay(420),ay(420),(mg/L)
Degersjön,14-Jun-02,0,0,3.5,5.1,2.7,0.6,2.1,2,1.57,
Degersjön,,,,3.5,5.1,2.7,0.6,2.1,2,1.57,
Puujärvi,14-Jun-02,60.253,23.7238333333,5.3,6.4,1.87,0.18,1.69,1.39,1.28,
Enajärvi,14-Jun-02,0,0,12.3,10.2,1.77,0.05,1.72,2.96,2.61,9.5
Pyhäjärvi,15-Jun-02,60.5443333333,24.1888333333,6.9,11.9,2.4,0.23,2.18,8.8,,12.3
Tämäkohtu,15-Jun-02,60.5381666667,24.1926666667,2.8,4.4,1.25,0,1.25,3.69,3.53,8.1
Vahermanjärvi,15-Jun-02,60.5621666667,23.9831666667,2,3.3,0.67,0,0.67,4.09,3.84,8.9
Kivijärvi,15-Jun-02,60.559,23.928,2.7,4.5,1.45,0.17,1.28,2,1.65,6
Löytty,15-Jun-02,60.5353333333,23.9728333333,11.1,14.1,4.4,0.13,4.28,4.71,4.36,10.3
Pitkäjärvi,17-Jun-02,60.4241666667,23.8778333333,33,42.3,6.6,0.68,5.93,6.42,5.7,11.3
Pusulanjärvi,17-Jun-02,60.4646666667,23.9778333333,28.2,34.7,6,0.43,5.58,6.23,5.28,10.1
Mustalahti??,17-Jun-02,60.3411666667,23.8066666667,18.6,24.5,3.5,0.1,3.4,7.4,6.49,12
Kirmusjärvi,17-Jun-02,60.328,23.8355,13.6,17.2,5.8,0.52,5.28,4.01,3.13,9.7
Lohjanjärvi1,17-Jun-02,60.2687166667,24.0754833333,13.5,19,4,0.13,3.88,5.24,5.4,11.2
Lohjanjärvi2,17-Jun-02,60.2630666667,24.0804833333,12.9,15.3,4,0.15,3.85,6.18,5.26,11
Lohjanjärvi3,17-Jun-02,60.2656666667,24.0545833333,8.5,13,4.79,0.4,4.39,6.05,5.08,10.8
Lohjanjärvi3,17-Jun-02,60.2656666667,24.0545833333,8.5,13,4.79,0.4,4.39,6.05,5.08,10.8
Lohjanjärvi5,17-Jun-02,60.24935,24.0342666667,,,3.79,0.15,3.64,4.72,3.84,9.7
Lohjanjärvi6,17-Jun-02,60.2488666667,24.0094666667,7.9,10.1,2.38,0.03,2.35,4.18,3.59,9.4
